Code,Date,Stock,StockLongName,Open,Close,PriceChange1,PctChange1,Volume,NumShares,20d_ret
0180,2015-11-25,KTC,KIM TECK CHEONG CONSOLIDATED BERHAD,0.3,0.32,0.17,1.1333333333333333,198503900,511277000.0,1.0333333333333323
0182,2016-05-16,LKL,LKL INTERNATIONAL BERHAD,0.35,0.28,0.08000000000000002,0.40000000000000013,132960200,428800000.0,0.47499999999999987
0183,2016-05-18,SALUTE,SALUTICA BERHAD,0.865,0.825,0.02499999999999991,0.031249999999999778,74028900,388000000.0,0.21980337078651613
0185,2016-08-10,HSSEB,HSS ENGINEERS BERHAD,0.58,0.57,0.06999999999999995,0.1399999999999999,85520400,319081010.0,0.15999999999999992
0186,2016-10-06,PTRANS,PERAK TRANSIT BERHAD,0.18,0.21,0.06,0.3999999999999999,241482800,1142948000.0,0.09999999999999987
0187,2016-10-24,BCMALL,BCM ALLIANCE BERHAD,0.27,0.215,0.024999999999999994,0.13157894736842102,203418400,421250200.0,-1.1102230246251565e-16
0188,2017-01-10,HLT,HLT GLOBAL BERHAD,0.55,0.545,0.09500000000000003,0.21111111111111125,33037900,263921000.0,0.04444444444444495
0189,2017-01-17,MATANG,MATANG BERHAD,0.14,0.14,0.010000000000000009,0.0769230769230771,303914800,1810000256.0,0.038461538461538325
0190,2017-04-21,ESAFE,EVERSAFE RUBBER BERHAD,0.46,0.41,0.04999999999999999,0.13888888888888884,73747600,240593796.0,0.12500000000000022
0191,2017-05-22,CABNET,CABNET HOLDINGS BERHAD,0.68,0.71,0.1499999999999999,0.26785714285714257,24574500,130000000.0,0.19642857142857095
0192,2017-05-25,INTA,INTA BINA GROUP BERHAD,0.33,0.305,0.05499999999999999,0.21999999999999997,126423200,535259000.0,0.2200000000000002
0193,2017-11-17,KAB,KEJURUTERAAN ASASTERA BERHAD,0.33,0.3,0.04999999999999999,0.19999999999999996,159920300,320000000.0,0.10000000000000009
0195,2018-01-08,BINACOM,BINASAT COMMUNICATIONS BERHAD,0.6,0.59,0.12999999999999995,0.28260869565217384,72639800,260000000.0,0.042259244209670976
0196,2018-03-08,QES,QES GROUP BERHAD,0.245,0.22,0.03,0.1578947368421053,123032300,758308000.0,-0.10526315789473684
0197,2018-03-06,WEGMANS,WEGMANS HOLDINGS BERHAD,0.305,0.295,0.0050000000000000044,0.01724137931034475,82804300,500000000.0,-0.13793103448275845
0198,2018-03-27,GDB,GDB HOLDINGS BERHAD,0.36,0.325,-0.024999999999999967,-0.07142857142857129,42330300,625000000.0,-0.09999999999999976
0199,2018-05-14,TRIMODE,TRI-MODE SYSTEM (M) BERHAD,0.5,0.525,-0.08499999999999996,-0.1393442622950819,3824000,166000000.0,-0.2622950819672131
0200,2018-07-18,REVENUE,REVENUE GROUP BERHAD,0.55,0.625,0.255,0.6891891891891893,188296900,222848000.0,1.891891891891893
0201,2018-07-20,NOVA,NOVA WELLNESS GROUP BERHAD,0.65,0.76,0.20999999999999996,0.3818181818181816,87920400,317743815.0,0.0909090909090906
0202,2018-07-24,RGTECH,RADIANT GLOBALTECH BERHAD,0.5,0.53,0.30000000000000004,1.3043478260869565,179567100,525200000.0,0.5434782608695647
0203,2018-11-13,SMETRIC,SECUREMETRIC BERHAD,0.45,0.535,0.28500000000000003,1.1400000000000001,151448700,243600000.0,0.6799999999999997
0205,2019-01-07,DPIH,DPI HOLDINGS BERHAD,0.345,0.27,0.020000000000000018,0.08000000000000007,128489700,486731000.0,-0.060000000000000164
